timestamp	sharpe	sortino	max_dd	total_ret	elapsed_ms
2026-03-13T13:11:35.000666	0.0	0.0	0.0	0.0	435
2026-03-13T13:13:24.895036	-0.5081	-0.6777	-6.4	1.8	2379
