equity_ratio,cash,sharpe,max_dd,path_id,strategy_name,psr,MinTRL
0.04597380336797196,459.7380336797196,-2.81999523836123,0.979005947103632,0,EMA_10_30_Cross,0.0,1
0.6315810628668621,6315.810628668621,-0.4155310973416573,0.6993759083151921,2,EMA_10_30_Cross,0.0,16
0.5358802190751325,5358.802190751325,-0.5709673227063873,0.7351075314825433,1,EMA_10_30_Cross,0.0,9
0.7129850617361212,7129.850617361212,-0.304328347806044,0.812873667408904,4,EMA_10_30_Cross,0.0,30
0.2055063819083818,2055.063819083818,-1.4285152461672044,0.8770022947640436,7,EMA_10_30_Cross,0.0,2
4.626852106519827,46268.52106519827,1.3864383539694811,0.5646272507024318,5,EMA_10_30_Cross,1.0,2
1.6978179943048788,16978.179943048788,0.47881697641522286,0.6416222788586741,6,EMA_10_30_Cross,1.0,12
0.4311922224019781,4311.9222240197805,-0.7621033118889011,0.7048461659993983,8,EMA_10_30_Cross,0.0,5
3.216068639370425,32160.68639370425,1.054985597600164,0.6062599802696174,9,EMA_10_30_Cross,1.0,3
1.2213258700704481,12213.258700704482,0.18103127110069425,0.6752451897125133,3,EMA_10_30_Cross,1.0,83
1.0286301493203143,10286.301493203142,0.025668311701546924,0.7791492522971035,11,EMA_10_30_Cross,1.0,4107
0.5151982062457381,5151.982062457381,-0.5977493005930459,0.7147160734669917,10,EMA_10_30_Cross,0.0,8
0.7425218501010223,7425.218501010223,-0.26917100933447374,0.7131244875404059,14,EMA_10_30_Cross,0.0,38
0.14955476451753727,1495.5476451753727,-1.7223135349966041,0.9518295066515176,12,EMA_10_30_Cross,0.0,1
0.15384478286487616,1538.4478286487615,-1.6894296483548061,0.901110678152435,13,EMA_10_30_Cross,0.0,1
4.86258805364707,48625.88053647069,1.4183060921439645,0.6041487183434586,15,EMA_10_30_Cross,1.0,2
2.5073045725551104,25073.045725551103,0.826606169351331,0.6944075303022041,17,EMA_10_30_Cross,1.0,4
0.6130367832373649,6130.3678323736485,-0.44632287936007986,0.8770581101606131,16,EMA_10_30_Cross,0.0,14
0.3392837966449364,3392.837966449364,-0.9777210489056856,0.8712860223272398,19,EMA_10_30_Cross,0.0,3
2.438420639659375,24384.206396593752,0.7963418747622237,0.6923679952142316,18,EMA_10_30_Cross,1.0,5
0.6716454764796822,6716.454764796822,-0.3613017144205599,0.6174626521045501,20,EMA_10_30_Cross,0.0,21
0.3301433382575019,3301.433382575019,-1.0036961773558604,0.7750474982640033,22,EMA_10_30_Cross,0.0,3
0.2022507696542782,2022.507696542782,-1.4628893597382533,0.8385016115825729,23,EMA_10_30_Cross,0.0,2
0.12255423145604252,1225.5423145604252,-1.9475989362822874,0.9125849021190567,21,EMA_10_30_Cross,0.0,1
0.38041583353964753,3804.158335396475,-0.8769575818857103,0.8410774309573312,25,EMA_10_30_Cross,0.0,4
0.7084363540698206,7084.363540698207,-0.314611790281159,0.7423975252121833,27,EMA_10_30_Cross,0.0,28
0.2846139598283067,2846.139598283067,-1.1330216555038324,0.8412544500295083,24,EMA_10_30_Cross,0.0,3
1.5873552964440243,15873.552964440243,0.41946708273654154,0.5301162114043734,26,EMA_10_30_Cross,1.0,16
1.2064312763340852,12064.312763340851,0.16993619119231934,0.7496822365779736,28,EMA_10_30_Cross,1.0,94
0.32319515383971614,3231.9515383971616,-1.016185593952051,0.8435437321273327,29,EMA_10_30_Cross,0.0,3
0.39556595039654213,3955.659503965421,-0.8511276857957909,0.8233592879698082,30,EMA_10_30_Cross,0.0,4
0.18944651166346282,1894.4651166346282,-1.4968463460822823,0.905009468651618,31,EMA_10_30_Cross,0.0,2
0.4478065164193915,4478.065164193915,-0.7258573119106626,0.8165484232318077,32,EMA_10_30_Cross,0.0,6
1.9003573153855196,19003.573153855195,0.57904539842806,0.7818106232265443,33,EMA_10_30_Cross,1.0,9
9.389927404494495,93899.27404494495,2.0082702263287557,0.6363216623467609,34,EMA_10_30_Cross,1.0,1
0.7618713843871848,7618.713843871848,-0.24636202179962163,0.7125953427603691,36,EMA_10_30_Cross,0.0,45
0.14544833354735748,1454.4833354735747,-1.7358156755049223,0.9051283121095498,37,EMA_10_30_Cross,0.0,1
3.1818762591028245,31818.762591028244,1.0379531176291015,0.5724753557617881,38,EMA_10_30_Cross,1.0,3
0.7521086600806698,7521.086600806698,-0.2576111053023536,0.6107596636768438,35,EMA_10_30_Cross,0.0,41
0.7382388432015696,7382.388432015697,-0.2765360719422428,0.639819659916528,39,EMA_10_30_Cross,0.0,36
0.48709319323138794,4870.93193231388,-0.6558539344911548,0.7926203836727561,40,EMA_10_30_Cross,0.0,7
0.05235933916240207,523.5933916240207,-2.666262863995146,0.95230516137296,41,EMA_10_30_Cross,0.0,1
1.5450796281331642,15450.796281331643,0.39153492507021853,0.6351158967735513,42,EMA_10_30_Cross,1.0,18
0.31468241749270526,3146.8241749270524,-1.0631905734382945,0.8462040824661643,43,EMA_10_30_Cross,0.0,3
0.19490812012929795,1949.0812012929796,-1.4862543855707022,0.9156662102643155,44,EMA_10_30_Cross,0.0,2
1.1248163541711698,11248.163541711698,0.1056640613574918,0.7510374164674146,48,EMA_10_30_Cross,1.0,243
0.10896031751451817,1089.6031751451817,-2.005964068347583,0.9363166916455832,47,EMA_10_30_Cross,0.0,1
0.1992595599223179,1992.5955992231789,-1.4616314495465794,0.8412315474127694,45,EMA_10_30_Cross,0.0,2
0.1465917978075227,1465.9179780752272,-1.7508212499743592,0.9254156588861974,46,EMA_10_30_Cross,0.0,1
